bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,,0.0356,0.0357,0.0477,0.0466,0.0473,0.0397,0.0436,0.0426,0.0424,0.0452,0.0499
B,0.037,0.0374,0.0365,0.047,0.0468,0.0476,0.044,0.0438,0.0461,0.0477,0.0474,0.0499
C,0.0392,0.0382,0.0376,0.0469,0.0467,0.0473,0.0386,0.04,0.0421,0.042,0.043,0.0413
D,0.0406,0.0401,0.0399,0.047,0.0465,0.0477,0.039,0.0405,0.044,0.0398,0.0408,0.0395
E,0.056,0.0459,0.0448,0.0472,0.0468,0.0473,0.0634,0.0774,0.072,0.0757,0.0628,0.0715
F,0.0592,0.0648,0.0547,0.0476,0.0472,0.0476,0.0684,0.0618,0.0651,0.0679,0.0684,0.0618
G,0.0757,0.074,0.0716,0.0471,0.0471,0.0478,0.0621,0.0633,0.06,0.0587,0.0617,0.0684
H,0.1102,0.1143,0.1165,0.047,0.0469,0.0478,0.0675,0.0656,0.0604,0.0716,0.0653,0.0843
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
B,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
C,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
D,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
E,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
F,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
G,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
H,20211101,20211101,20211101,,,,20211101,20211101,20211101,20211101,20211101,20211101
