bact_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0356,0.0354,0.0351,0.0468,0.0469,0.0473,0.0431,0.0436,0.0396,0.0401,0.0403,0.0473
B,0.0371,0.0372,0.0352,0.0466,0.0467,0.0473,0.0494,0.0392,0.0397,0.0467,0.0468,0.0395
C,0.0394,0.0402,0.0354,0.047,0.0468,0.0467,0.0472,0.047,0.04,0.1769,0.0406,0.0482
D,0.0438,0.0424,0.0354,0.0468,0.0466,0.0472,0.0392,0.0425,0.041,0.041,0.0418,0.04
E,0.0497,0.0559,0.0351,0.0469,0.0469,0.0471,0.0473,0.0529,0.0473,0.0419,0.0469,0.0392
F,0.0643,0.0688,0.0375,0.0475,0.0465,0.0472,0.0417,0.0531,0.0551,0.0417,0.045,0.0418
G,0.091,0.1029,0.0355,0.0471,0.0469,0.0473,0.0599,0.0418,0.0553,0.0423,0.0457,0.055
H,0.1487,0.2494,0.0469,0.0465,0.0471,0.0476,0.057,0.0475,0.0576,0.0458,0.0491,0.0464
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,,,,,,,,,,,
B,0.015625,,,,,,,,,,,
C,0.03125,,,,,,,,,,,
D,0.0625,,,,,,,,,,,
E,0.125,,,,,,,,,,,
F,0.25,,,,,,,,,,,
G,0.5,,,,,,,,,,,
H,1,,,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,
B,,,,,,,7,8,9,,,12
C,,,,,,,,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,,28,,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201130,,,,,,20201130,20201130,20201130,20201130,20201130,
B,20201130,,,,,,20201130,20201130,20201130,,,20201130
C,20201130,,,,,,,20201130,20201130,20201130,20201130,20201130
D,20201130,,,,,,20201130,20201130,20201130,20201130,20201130,20201130
E,20201130,,,,,,20201130,20201130,,20201130,,20201130
F,20201130,,,,,,20201130,20201130,20201130,20201130,20201130,20201130
G,20201130,,,,,,20201130,20201130,20201130,20201130,20201130,20201130
H,20201130,,,,,,20201130,20201130,20201130,20201130,20201130,20201130
