bact_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0376,0.0421,0.0354,0.0465,0.0463,0.0464,0.0509,0.0696,0.0518,0.0449,0.0517,0.0558
B,0.0374,0.0382,0.0354,0.0463,0.0463,0.0469,0.0762,0.0476,0.0496,0.0467,0.0472,0.0425
C,0.0389,0.0408,0.0354,0.0468,0.0463,0.0476,0.0496,0.066,0.0444,0.0486,0.0536,0.0838
D,0.0432,0.043,0.0353,0.0468,0.0466,0.0468,0.0454,0.0587,0.0467,0.0484,0.0482,0.0458
E,0.049,0.051,0.0355,0.0467,0.0465,0.047,0.057,0.0742,0.087,0.0551,0.0597,0.0632
F,0.0654,0.0643,0.0356,0.0468,0.0465,0.0471,0.06,0.0705,0.0717,0.057,0.0661,0.052
G,0.0906,0.0909,0.0354,0.0466,0.0462,0.0472,0.0906,0.0576,0.0817,0.0643,0.0833,0.0664
H,0.1446,0.154,0.0466,0.0458,0.0466,0.0472,0.0889,0.0619,0.085,0.0633,0.0686,0.0555
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.015625,0.015625,,,,,,,,,,
C,0.03125,0.03125,,,,,,,,,,
D,0.0625,0.0625,,,,,,,,,,
E,0.125,0.125,,,,,,,,,,
F,0.25,0.25,,,,,,,,,,
G,0.5,0.5,,,,,,,,,,
H,1,1,,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201118,20201118,,,,,,20201118,20201118,20201118,20201118,20201118
B,20201118,20201118,,,,,20201118,20201118,20201118,,,20201118
C,20201118,20201118,,,,,20201118,20201118,20201118,20201118,20201118,20201118
D,20201118,20201118,,,,,20201118,20201118,20201118,20201118,20201118,20201118
E,20201118,20201118,,,,,20201118,20201118,20201118,20201118,20201118,20201118
F,20201118,20201118,,,,,20201118,20201118,20201118,20201118,20201118,20201118
G,20201118,20201118,,,,,20201118,20201118,20201118,20201118,20201118,20201118
H,20201118,20201118,,,,,20201118,20201118,20201118,20201118,20201118,20201118
