bact_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0362,0.0355,0.0352,0.0469,0.0466,0.0476,0.0599,0.0934,0.0715,0.0596,0.0571,0.1068
B,0.036,0.0356,0.0349,0.0465,0.0468,0.0471,0.085,0.0591,0.09,0.0467,0.0467,0.0499
C,0.0379,0.0367,0.0355,0.0465,0.0466,0.0474,0.061,0.107,0.0606,0.0545,0.0861,0.1075
D,0.0366,0.036,0.0352,0.0466,0.0462,0.0469,0.0499,0.0909,0.0628,0.049,0.0445,0.0543
E,0.0372,0.0376,0.0351,0.0467,0.0468,0.0469,0.0554,0.0668,0.0808,0.0519,0.0665,0.0512
F,0.0396,0.0397,0.0355,0.047,0.0464,0.0472,0.0524,0.0643,0.0792,0.0538,0.0541,0.0675
G,0.0434,0.043,0.0353,0.047,0.0466,0.0472,0.0555,0.0453,0.0861,0.0459,0.0927,0.0558
H,0.0508,0.0597,0.0468,0.046,0.0462,0.0469,0.0762,0.0602,0.0713,0.0541,0.0688,0.0505
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.015625,0.015625,,,,,,,,,,
C,0.03125,0.03125,,,,,,,,,,
D,0.0625,0.0625,,,,,,,,,,
E,0.125,0.125,,,,,,,,,,
F,0.25,0.25,,,,,,,,,,
G,0.5,0.5,,,,,,,,,,
H,1,1,,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201105,20201105,,,,,20201105,20201105,20201105,20201105,20201105,20201105
B,20201105,20201105,,,,,20201105,20201105,20201105,,,20201105
C,20201105,20201105,,,,,20201105,20201105,20201105,20201105,20201105,20201105
D,20201105,20201105,,,,,20201105,20201105,20201105,20201105,20201105,20201105
E,20201105,20201105,,,,,20201105,20201105,20201105,20201105,20201105,20201105
F,20201105,20201105,,,,,20201105,20201105,20201105,20201105,20201105,20201105
G,20201105,20201105,,,,,20201105,20201105,20201105,20201105,20201105,20201105
H,20201105,20201105,,,,,20201105,20201105,20201105,20201105,20201105,20201105
