bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0448,0.0357,0.0352,0.0466,0.0464,0.0468,0.0503,0.0457,0.0496,0.0464,0.0476,0.0549
B,0.0382,0.0373,0.0372,0.0464,0.0463,0.047,0.0665,0.0479,0.0504,0.047,0.0472,0.0421
C,0.0393,0.0389,0.0386,0.0466,0.0464,0.0478,0.0495,0.0678,0.0467,0.0486,0.0528,0.082
D,0.0424,0.0424,0.0421,0.0468,0.0468,0.0468,0.0464,0.0599,0.0466,0.0484,0.0484,0.0459
E,0.0488,0.0499,0.0485,0.0468,0.0466,0.0471,0.0578,0.0767,0.0903,0.0542,0.0524,0.0636
F,0.0648,0.0626,0.0624,0.0469,0.0466,0.0498,0.0614,0.0699,0.0703,0.059,0.0631,0.0524
G,0.0917,0.0918,0.0907,0.0468,0.0462,0.0473,0.0897,0.0572,0.0806,0.0665,0.0844,0.065
H,0.1491,0.1523,0.1498,0.0463,0.0466,0.0481,0.086,0.0625,0.0858,0.0644,0.0752,0.0537
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,2,3,4,5,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201118,20201118,20201118,,,,,20201118,20201118,20201118,20201118,20201118
B,20201118,20201118,20201118,,,,20201118,20201118,20201118,,,20201118
C,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
D,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
E,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
F,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
G,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
H,20201118,20201118,20201118,,,,20201118,20201118,20201118,20201118,20201118,20201118
