visit_id,bromeliad_id,ph,temp,v_extracted,larvae
1,1,8.93,23.4,5,0
1,2,8.94,23,5,0
1,3,9.29,23,5,0
1,4,8.91,23.6,5,0
1,5,8.98,23.3,5,0
1,6,8.83,23.5,5,0
1,7,9.07,22.6,5,0
1,8,9.47,22.8,5,0
1,9,9.71,22.3,5,0
1,10,,,,0
1,11,,,1.1,0
1,12,8.91,23.7,5,0
1,13,9.29,23.1,4.8,0
1,14,8.91,23.2,5,0
1,15,9.13,22.7,3.5,0
1,16,9.2,22.2,5,0
1,17,,,5,0
1,18,8.9,23.9,5,0
1,19,9.43,23,5,0
1,20,8.94,23.7,5,0
1,21,9.8,22.6,5,0
1,22,,,5,0
1,23,9.31,22.6,5,0
1,24,9.44,23,5,0
1,25,9.01,23.2,5,0
1,26,9.11,22.4,5,0
1,27,,,5,0
1,28,8.92,23.5,5,0
1,29,9.3,22.3,5,0
1,30,9.19,22.3,5,0
1,31,,,5,0
1,32,9.15,23,5,0
1,33,9.28,22.3,5,0
1,34,9.15,21.8,5,0
1,35,9.32,23.5,5,0
1,36,9.03,23.3,5,0
1,37,9.05,22.8,5,0
1,38,9.35,22.9,5,0
1,39,9.37,23.3,5,0
1,40,8.93,23.7,5,0
1,41,9.08,22.5,5,0
1,42,8.95,23.2,5,0
1,43,8.98,23.1,5,0
1,44,9.05,22.6,5,0
1,45,9.36,24,5,0
1,46,9.09,22.4,5,0
1,47,9.16,22.2,5,0
1,48,9.28,23.4,5,0
2,1,,,3.8,0
2,2,,,5,0
2,3,,,5,1
2,4,,,5,0
2,5,,,5,0
2,6,,,5,0
2,7,,,5,0
2,8,,,5,0
2,9,,,5,0
2,10,,,0,0
2,11,,,0,0
2,12,,,5,0
2,13,,,3.6,0
2,14,,,5,1
2,15,,,5,0
2,16,,,5,0
2,17,,,5,0
2,18,,,5,0
2,19,,,5,0
2,20,,,5,0
2,21,,,5,0
2,22,,,5,0
2,23,,,5,0
2,24,,,5,0
2,25,,,5,0
2,26,,,5,0
2,27,,,5,0
2,28,,,5,0
2,29,,,5,0
2,30,,,5,0
2,31,,,5,0
2,32,,,5,0
2,33,,,5,0
2,34,,,3.8,0
2,35,,,5,0
2,36,,,5,0
2,37,,,5,0
2,38,,,5,0
2,39,,,5,0
2,40,,,5,0
2,41,,,5,0
2,42,,,5,0
2,43,,,5,0
2,44,,,5,0
2,45,,,5,0
2,46,,,5,0
2,47,,,5,0
2,48,,,5,0
3,1,5.81,23.3,2,0
3,2,5.39,22,4,0
3,3,5.86,21.9,5,0
3,4,,,2.4,0
3,5,5.68,22.5,3.4,0
3,6,6.07,22.8,4.2,0
3,7,5.91,22.4,5,0
3,8,6.07,22,5,0
3,9,5.85,22.3,5,0
3,10,,,0,0
3,11,,,0,0
3,12,5.99,22.1,5,0
3,13,,,1.4,0
3,14,5.68,22,5,0
3,15,5.8,22,5,0
3,16,6.48,22.1,4.9,0
3,17,5.81,22,5,0
3,18,5.72,22.6,5,0
3,19,6.04,22.1,4.8,0
3,20,5.77,22.5,5,0
3,21,5.63,23.3,5,0
3,22,,,1.1,0
3,23,5.7,22.7,5,0
3,24,5.8,22.4,5,0
3,25,5.99,22.4,5,0
3,26,5.88,22.1,5,1
3,27,5.95,22.5,5,1
3,28,5.85,22.6,5,0
3,29,,,2.4,0
3,30,5.85,22.3,3,0
3,31,6.01,22.7,5,0
3,32,5.95,22.6,5,0
3,33,6.06,21.9,5,0
3,34,5.97,21.8,5,0
3,35,5.77,22.1,5,0
3,36,5.54,21.9,5,0
3,37,5.72,22.7,5,4
3,38,5.74,22.7,5,0
3,39,5.81,23,5,0
3,40,5.86,22,5,0
3,41,5.44,22.2,4,0
3,42,5.94,22.5,5,0
3,43,5.9,22.7,5,0
3,44,5.93,22.3,5,1
3,45,6.73,22.4,5,0
3,46,5.99,22.1,5,0
3,47,5.99,21.9,5,1
3,48,5.82,22,5,0
4,1,,,0,0
4,2,,,5,0
4,3,,,5,0
4,4,,,5,2
4,5,,,2,1
4,6,,,3.2,0
4,7,,,5,0
4,8,,,5,0
4,9,,,5,0
4,10,,,0,0
4,11,,,0,0
4,12,,,5,0
4,13,,,1.5,0
4,14,,,5,0
4,15,,,5,0
4,16,,,5,3
4,17,,,2.6,1
4,18,,,5,0
4,19,,,2,0
4,20,,,5,0
4,21,,,5,0
4,22,,,3.8,0
4,23,,,5,0
4,24,,,5,1
4,25,,,5,0
4,26,,,5,0
4,27,,,5,2
4,28,,,5,0
4,29,,,4.4,0
4,30,,,2,0
4,31,,,5,0
4,32,,,5,0
4,33,,,5,0
4,34,,,5,0
4,35,,,5,0
4,36,,,5,0
4,37,,,5,3
4,38,,,5,0
4,39,,,5,0
4,40,,,4.6,0
4,41,,,4,0
4,42,,,5,0
4,43,,,5,2
4,44,,,5,0
4,45,,,5,0
4,46,,,5,0
4,47,,,5,0
4,48,,,5,0
5,1,,,3,0
5,2,,,3.8,0
5,3,,,3,0
5,4,,,5,0
5,5,,,0,0
5,6,,,2,0
5,7,,,3,1
5,8,,,3,0
5,9,,,5,0
5,10,,,0,0
5,11,,,0,0
5,12,,,3,1
5,13,,,3.4,0
5,14,,,3,0
5,15,,,3,0
5,16,,,3,0
5,17,,,3,0
5,18,,,3,0
5,19,,,2.4,0
5,20,,,3,0
5,21,,,5,0
5,22,,,3,0
5,23,,,5,0
5,24,,,5,0
5,25,,,3,0
5,26,,,3,0
5,27,,,3,0
5,28,,,3,0
5,29,,,3,0
5,30,,,3,0
5,31,,,3,0
5,32,,,3,0
5,33,,,3,0
5,34,,,3,0
5,35,,,3,0
5,36,,,3,0
5,37,,,3,0
5,38,,,5,0
5,39,,,5,0
5,40,,,3,0
5,41,,,3,0
5,42,,,3,0
5,43,,,3,0
5,44,,,3,0
5,45,,,3,1
5,46,,,3,0
5,47,,,3,0
5,48,,,3,0
6,1,5.78,23.1,5,0
6,2,5.79,21.6,5,0
6,3,5.78,23.5,4.9,1
6,4,5.67,22.1,5,0
6,5,5.48,22.6,4,0
6,6,,,0,0
6,7,5.54,22.3,5,0
6,8,,,3,0
6,9,5.88,21.3,5,0
6,10,,,0,0
6,11,,,0,0
6,12,5.4,23,5,0
6,13,,,0,0
6,14,5.83,22.4,5,0
6,15,5.84,23.3,5,0
6,16,,,3.6,1
6,17,5.78,21.3,5,0
6,18,5.71,22.4,5,0
6,19,,,3.4,0
6,20,5.6,22.7,5,0
6,21,5.71,21.8,5,0
6,22,5.8,22.8,5,0
6,23,5.35,21.7,5,0
6,24,5.7,21.6,5,0
6,25,5.55,23.5,5,0
6,26,5.02,23,5,0
6,27,,,0,0
6,28,5.73,23.1,5,0
6,29,,,0,0
6,30,5.73,21.8,5,0
6,31,5.6,23.1,5,0
6,32,5.6,24.9,5,0
6,33,5.26,23.2,5,0
6,34,5.58,22.5,4.7,0
6,35,5.43,23.4,4.6,0
6,36,5.41,21.7,5,0
6,37,5.69,22.8,5,1
6,38,5.41,22.1,5,0
6,39,5.62,21.9,5,0
6,40,5.48,24.2,5,0
6,41,5.71,22.1,5,0
6,42,5.35,23.1,5,0
6,43,5.7,23.1,5,0
6,44,5.65,22.8,5,0
6,45,5.51,24.2,5,0
6,46,5.48,22.1,5,0
6,47,5.86,22.2,5,0
6,48,5.05,23.4,5,0
H0,T1,7.16,22.5,4,0
H0,T2,7.21,22.4,4,0
H0,T3,7.17,22.2,4,0
H0,T4,7.19,22.3,4,0
H1,T1,6.27,22.1,4,0
H1,T2,5.99,22.2,4,0
H1,T3,6.66,21.9,4,0
H1,T4,6.57,21.9,4,0
H4,T1,6.02,22.3,4,2
H4,T2,6.08,22.1,4,0
H4,T3,6.48,22,4,0
H4,T4,6.51,22.1,4,0
H8,T1,6.25,22.4,4,1
H8,T2,6.43,22.6,4,0
H8,T3,6.77,22.3,4,0
H8,T4,6.66,22.6,4,0
H24,T1,6.09,21.7,4,0
H24,T2,6.42,21.8,4,0
H24,T3,6.4,21.6,4,0
H24,T4,6.46,21.7,4,0
H48,T1,5.99,21.1,2.8,2
H48,T2,6.41,20.7,3.1,0
H48,T3,6.37,20.5,4,0
H48,T4,6.34,20.4,4,0
