bact_b,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0361,0.0355,0.0353,0.0468,0.0463,0.047,0.0458,0.0452,0.0412,0.0395,0.0469,0.0447
B,0.038,0.037,0.0352,0.0467,0.0465,0.0471,0.052,0.0431,0.0419,0.0468,0.0468,0.0443
C,0.0392,0.0386,0.0351,0.0465,0.0464,0.047,0.0434,0.0553,0.0409,0.0411,0.0403,0.0557
D,0.0421,0.0415,0.035,0.0467,0.0462,0.047,0.0428,0.0445,0.0448,0.043,0.0418,0.0429
E,0.0475,0.0485,0.0351,0.0469,0.0465,0.047,0.0532,0.0573,0.0536,0.0395,0.0484,0.0407
F,0.0633,0.0619,0.0356,0.0469,0.0469,0.0471,0.0443,0.0534,0.0591,0.0437,0.0453,0.0457
G,0.0816,0.0868,0.0352,0.0468,0.0467,0.0471,0.0559,0.048,0.0618,0.058,0.0503,0.059
H,0.1338,0.1295,0.0468,0.0461,0.0467,0.0475,0.0704,0.0626,0.0658,0.0527,0.0543,0.0483
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.015625,0.015625,,,,,,,,,,
C,0.03125,0.03125,,,,,,,,,,
D,0.0625,0.0625,,,,,,,,,,
E,0.125,0.125,,,,,,,,,,
F,0.25,0.25,,,,,,,,,,
G,0.5,0.5,,,,,,,,,,
H,1,1,,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201123,20201123,,,,,20201123,20201123,20201123,20201123,,20201123
B,20201123,20201123,,,,,20201123,20201123,20201123,,,20201123
C,20201123,20201123,,,,,20201123,20201123,20201123,20201123,20201123,20201123
D,20201123,20201123,,,,,20201123,20201123,20201123,20201123,20201123,20201123
E,20201123,20201123,,,,,20201123,20201123,20201123,20201123,20201123,20201123
F,20201123,20201123,,,,,20201123,20201123,20201123,20201123,20201123,20201123
G,20201123,20201123,,,,,20201123,20201123,20201123,20201123,20201123,20201123
H,20201123,20201123,,,,,20201123,20201123,20201123,20201123,20201123,20201123
