bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0358,0.0355,0.0352,0.0469,0.0469,0.0474,0.0426,0.0428,0.04,0.0418,0.041,0.0473
B,0.0381,0.0383,0.0385,0.0468,0.0467,0.0473,0.0489,0.0405,0.0399,0.0469,0.0468,0.0437
C,0.0393,0.0392,0.0395,0.047,0.0472,0.0487,0.0472,0.0476,0.0393,0.0404,0.039,0.0462
D,0.0459,0.0423,0.0439,0.0468,0.0466,0.0473,0.0393,0.0421,0.0404,0.0406,0.0438,0.0422
E,0.0499,0.0499,0.0495,0.0469,0.047,0.0472,0.0477,0.0531,0.0473,0.0397,0.0469,0.0391
F,0.0692,0.0638,0.062,0.0477,0.0469,0.0472,0.0419,0.0564,0.0593,0.0414,0.0461,0.0424
G,0.0926,0.0926,0.0887,0.0472,0.047,0.0473,0.0541,0.0422,0.0559,0.0428,0.0454,0.054
H,0.1566,0.1502,0.145,0.047,0.0476,0.0476,0.0542,0.0492,0.0572,0.0459,0.0476,0.0451
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,
B,,,,,,,7,8,9,,,12
C,,,,,,,,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,,28,,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,
B,20201130,20201130,20201130,,,,20201130,20201130,20201130,,,20201130
C,20201130,20201130,20201130,,,,,20201130,20201130,20201130,20201130,20201130
D,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
E,20201130,20201130,20201130,,,,20201130,20201130,,20201130,,20201130
F,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
G,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
H,20201130,20201130,20201130,,,,20201130,20201130,20201130,20201130,20201130,20201130
