bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0643,0.0358,0.0363,0.0357,0.0353,0.0361,0.0363,0.0377,0.036,0.0383,0.0378,0.0358
B,0.1105,0.1414,0.1382,0.0494,0.0437,0.0448,0.0378,0.04,0.0356,0.0444,0.0383,0.0372
C,0.0444,0.0407,0.0405,0.044,0.0439,0.0443,0.0354,0.0367,0.036,0.0375,0.0367,0.0371
D,0.0515,0.045,0.0474,0.045,0.0444,0.0444,0.036,0.0365,0.0374,0.0363,0.0353,0.0363
E,0.0572,0.0523,0.0526,0.0441,0.0436,0.0446,0.0371,0.0357,0.0447,0.0359,0.0352,0.0352
F,0.0667,0.0672,0.0678,0.044,0.0439,0.0444,0.0388,0.0352,0.0375,0.0375,0.0355,0.0393
G,0.1001,0.096,0.1016,0.044,0.0434,0.0472,0.0365,0.035,0.0357,0.0358,0.0427,0.036
H,0.0851,0.0414,0.2722,0.0454,0.0442,0.0445,0.035,0.036,0.035,0.0374,0.0358,0.0354
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,0,0,,,,,,,,,
B,250,250,250,,,,,,,,,
C,7.7,7.7,7.7,,,,,,,,,
D,15.5,15.5,15.5,,,,,,,,,
E,31.3,31.3,31.3,,,,,,,,,
F,62.5,62.5,62.5,,,,,,,,,
G,125,125,125,,,,,,,,,
H,3.8,3.8,3.8,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
B,20201028,20201028,20201028,,,,20201028,20201028,20201028,,20201028,20201028
C,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
D,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
E,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
F,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
G,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
H,20201028,20201028,20201028,,,,20201028,20201028,20201028,20201028,20201028,20201028
