bact_a,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0358,0.0354,0.0352,0.0471,0.0464,0.0471,0.0453,0.0451,0.0472,0.0399,0.0467,0.0506
B,0.0376,0.0368,0.0371,0.0468,0.0466,0.0472,0.0516,0.0409,0.0422,0.0469,0.0468,0.0435
C,0.04,0.0387,0.0382,0.0467,0.0465,0.0471,0.0426,0.0565,0.0426,0.042,0.0383,0.0617
D,0.0418,0.0411,0.0415,0.0468,0.0462,0.0471,0.0412,0.0444,0.045,0.042,0.0558,0.043
E,0.048,0.0476,0.0478,0.047,0.0466,0.047,0.0538,0.0581,0.0534,0.04,0.0449,0.0412
F,0.0729,0.0593,0.0601,0.0477,0.0469,0.0473,0.0437,0.0542,0.0588,0.0433,0.0452,0.0438
G,0.0838,0.0856,0.0854,0.0469,0.0468,0.0477,0.0554,0.047,0.0597,0.0564,0.0485,0.0586
H,0.1295,0.1354,0.1297,0.0468,0.0467,0.0476,0.068,0.0612,0.0616,0.0517,0.0541,0.0465
,,,,,,,,,,,,
bact_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,,,,,,,,,
B,0.015625,0.015625,0.015625,,,,,,,,,
C,0.03125,0.03125,0.03125,,,,,,,,,
D,0.0625,0.0625,0.0625,,,,,,,,,
E,0.125,0.125,0.125,,,,,,,,,
F,0.25,0.25,0.25,,,,,,,,,
G,0.5,0.5,0.5,,,,,,,,,
H,1,1,1,,,,,,,,,
,,,,,,,,,,,,
bact_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,,6
B,,,,,,,7,8,9,,,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
date,1,2,3,4,5,6,7,8,9,10,11,12
A,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,,20201123
B,20201123,20201123,20201123,,,,20201123,20201123,20201123,,,20201123
C,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
D,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
E,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
F,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
G,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
H,20201123,20201123,20201123,,,,20201123,20201123,20201123,20201123,20201123,20201123
